S.No,DNAPass AS Name,Subject coverage,Weighted Score
113,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4372
114,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2126
115,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.3998
116,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2754
117,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5435
118,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.337
119,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.4348
120,BNCH-Java-Jr-Java Jr Dev Test-grades,0.08,0.1437
121,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.4167
122,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.4638
123,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.1848
124,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.2077
125,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
126,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.25
127,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3188
128,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5737
129,BNCH-Java-Jr-Java Jr Dev Test-grades,0.12,0.1582
130,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1582
131,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.3853
132,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.1196
133,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.4167
134,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5145
135,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.2754
136,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
137,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.4022
138,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.4457
139,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.6498
140,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.256
141,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2343
142,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.442
143,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.0688
144,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5157
145,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.2669
146,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
147,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.4601
148,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.2234
149,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
150,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4384
151,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5145
152,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.308
153,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.413
154,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6256
155,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2754
156,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.4046
157,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.3333
158,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.4819
159,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.3418
160,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.3756
